Supplementary Data Sheet 1 Trait values for the 7686 rice varieties studied.,,,,,,,,,,,,,
Varieties,Ecotype,Province of release,Year of release,Yield (t/ha),Growth period (d),Height (cm),Pannicle length (cm),Panicle number (million/ha),Seed setting rate (%),1000-grain-weight (g),Grains per panicle,Seed length/width ratio,Filled grain number
jin zhu 1 hao ,Japonica inbred,Beijing,1993,6.75,145,90,NA,NA,96,NA,NA,NA,NA
jing hua 101,Japonica inbred,Tianjin,1993,7.785,NA,110,20.5,NA,80,28.5,NA,NA,NA
jing you 6 hao ,Japonica hybrid,Beijing,1993,7.2,130,100,20,NA,87.5,28,NA,NA,NA
he xi 30 hao ,Japonica inbred,Yunnan,1993,8.694,172,90,NA,5.25,NA,22.1,NA,NA,80.7
teng xi 144,Japonica inbred,Jilin,1993,7.32,124.5,90,14.6,NA,92.5,27,NA,NA,NA
zhe 733,Indica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,1993,6.75,110,80,19.7,3.9,80,25.8,NA,2.8,NA
zhong hua 12 hao ,Japonica inbred,Tianjin,1993,7.314,NA,110,20.5,NA,84,26,NA,NA,NA
zhong xin 1 hao ,Japonica hybrid,Beijing,1993,8.25,145,92.5,NA,3.15,82.5,27.25,NA,2,NA
tong 31,Japonica inbred,Jilin,1993,7.725,141,105,19,NA,96,28,NA,NA,NA
he xi 24 hao ,Japonica inbred,Yunnan,1993,8.232,172,100,NA,4.53,NA,25.1,NA,NA,80.3
tong xi 112,Japonica inbred,Heilongjiang,1993,7.054,NA,90,16,NA,84,27.3,NA,NA,NA
zhan jing 7 hao ,Japonica inbred,Yunnan,1993,8.1675,185,100,23,3.195,NA,29.5,NA,NA,100
xiu shui 61,Japonica inbred,Shanghai,1993,8.7615,154,105,15,NA,90,28,100,NA,90
chu jing 12 hao ,Japonica inbred,Yunnan,1993,8.72085,170,91,17,4.5,85,25.5,NA,NA,NA
hu jing 119,Japonica inbred,Shanghai,1993,7.1775,155,82.5,14,NA,90,26,80,NA,72
bao nong 2 hao ,Japonica inbred,Shanghai,1993,7.8075,155,105,17,NA,90,27,100,NA,90
jiu dao 13 hao ,Japonica inbred,Jilin,1993,8.28,148,90,18,NA,90,25.6,NA,NA,NA
ji jing 64 hao ,Japonica inbred,Jilin,1993,7.95,136,97,19,NA,80,28,NA,NA,NA
chang bai 8 hao ,Japonica inbred,Jilin,1993,7.14,130,90,NA,NA,90,26,NA,NA,NA
yan jing 19 hao ,Japonica inbred,Jilin,1993,7.095,122,80.3,15.5,NA,90,26.7,NA,NA,NA
long jing 4 hao ,Japonica inbred,Heilongjiang,1993,7.4581,NA,82.5,16,NA,NA,27,NA,NA,NA
he xi 15 hao ,Japonica inbred,Yunnan,1993,7.8735,170,90,18.4,NA,NA,24.3,NA,NA,68
88-635,Japonica inbred,Yunnan,1993,8.055,186,105,NA,3.255,68.3,25,NA,NA,105.9
86-167,Japonica inbred,Yunnan,1993,7.089,175,85,18,NA,NA,27.5,NA,NA,90
huai zao 7 hao ,Indica inbred,Hunan,1993,5.745,113,85,NA,NA,81,24.5,NA,NA,NA
te you 63,Indica hybrid,Jiangsu,1994,8.6409,140,NA,NA,NA,NA,NA,NA,NA,NA
wei you 647,Indica hybrid,Hunan,1994,7.17,130,90,NA,NA,80,27.5,NA,NA,NA
shan you 36fu ,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,1994,6,128.5,91.5,NA,3.225,86.5,27.75,120,NA,103.8
you ��77,Indica hybrid,Hunan,1994,7.6539,114,92.5,NA,NA,NA,26,NA,NA,NA
shan you 72,Indica hybrid,Fujian,1994,6.261,128.5,97.5,NA,NA,NA,NA,NA,NA,NA
mei you 524,Indica hybrid,Guangdong,1994,6.45375,132.5,102.5,NA,2.775,85,27.5,120,NA,102
guang you 159,Indica hybrid,Guangdong,1994,6.4905,127.5,97.5,NA,2.85,NA,23.75,NA,NA,NA
shan you 96,Indica hybrid,Guangdong,1994,6.336,123,95,NA,2.85,85,25,120,NA,102
shan you 78,Indica hybrid,Fujian,1994,6.408,130,92.5,NA,NA,NA,NA,NA,NA,NA
zhen you 48-2,Indica hybrid,Zhejiang,1994,6.7275,128,NA,NA,NA,NA,NA,NA,NA,NA
��you 92,Indica hybrid,Zhejiang,1994,7.116,123.5,NA,NA,NA,NA,NA,NA,NA,NA
shan you wan 3,Indica hybrid,Hunan,1994,7.5,117.5,100,23,NA,80,28,NA,NA,NA
mu dan jiang 20 hao ,Japonica inbred,Heilongjiang,1994,9.6528,NA,94,19.6,NA,NA,NA,NA,NA,NA
long jin 1 hao ,Japonica inbred,Jilin,1994,6.495,140,100,19,NA,80,20,NA,2,NA
jin dao 779,Japonica inbred,Tianjin,1994,7.095,172.5,97.5,NA,NA,NA,25,NA,NA,NA
jing you 6 hao ,Japonica hybrid,Ningxia,1994,9.2874,150,85,15,NA,NA,27,85,NA,60
zu pei 7 hao ,Japonica inbred,Jilin,1994,8.355,145,100,NA,NA,85,25,NA,NA,NA
jia zao 05,Indica inbred,Zhejiang,1994,6.756,NA,NA,NA,NA,NA,NA,NA,NA,NA
tai hu jing 2 hao ,Japonica inbred,Jiangsu,1994,8.98995,163,NA,NA,NA,NA,NA,NA,NA,NA
hang 87-91,Indica inbred,Zhejiang,1994,6.843,109.5,NA,NA,NA,NA,NA,NA,NA,NA
feng xuan 2 hao ,Japonica inbred,Jilin,1994,8.46,141,100,NA,NA,90,27,NA,NA,NA
wu dao 3 hao ,Japonica inbred,Heilongjiang,1994,8.5967,NA,90,15.5,NA,NA,26.4,NA,NA,NA
ning zao 517,Indica inbred,Fujian,1994,5.826,125,85,NA,NA,NA,NA,NA,NA,NA
sheng you 2 hao ,Indica inbred,Guangdong,1994,6.47475,135,102.5,NA,2.865,87.5,25.9,120,NA,105
nan jing yu xian,Indica inbred,Jiangsu,1994,7.61715,143,NA,NA,NA,NA,NA,NA,NA,NA
long chuan xian1 hao ,Indica inbred,Jiangsu,1994,7.677,139,NA,NA,NA,NA,NA,NA,NA,NA
teng xi 140,Japonica inbred,Heilongjiang,1994,8.0836,NA,90,16,NA,NA,26,NA,NA,NA
yang dao 5 hao ,Indica inbred,Jiangsu,1994,7.9383,142,NA,NA,NA,NA,NA,NA,NA,NA
zao gui ba ,Indica inbred,Hunan,1994,6,127,98,22,NA,80,22,NA,NA,NA
bei lu 128,Japonica inbred,Jilin,1994,7.545,138,90,NA,NA,NA,26,NA,NA,NA
song jing 3 hao ,Japonica inbred,Heilongjiang,1994,8.9199,NA,85,14,NA,NA,25,NA,NA,NA
qing xi 98,Japonica inbred,Ningxia,1994,9.77445,148,148,15,NA,NA,34.5,NA,NA,NA
ning you 1 hao ,Japonica hybrid,Ningxia,1994,10.67745,150,100,17,NA,NA,27,NA,NA,90
ning xiang dao 1 hao ,Japonica inbred,Ningxia,1994,8.6055,145,78.5,15,NA,NA,28.5,NA,1.82,NA
ai san lu zhan ,Indica inbred,Guangdong,1994,5.1111,130,102.5,NA,3.4125,90,17.5,120,NA,108
shen xiang jing 4 hao ,Japonica inbred,Shanghai,1994,7.95,155,95,NA,NA,NA,26,NA,NA,NA
siyou 9083,Japonica hybrid,Jiangsu,1994,8.9205,150,NA,NA,NA,NA,NA,NA,NA,NA
jiu dao 14 hao ,Japonica inbred,Jilin,1994,8.49,137.5,100,19,NA,85,27,NA,NA,NA
yan jing 20 hao ,Japonica inbred,Jilin,1994,8.215,148,90,16.25,NA,NA,24.3,NA,1.7,NA
tian jing 1 hao ,Japonica inbred,Jilin,1994,7.68,135,95,NA,NA,NA,26,NA,NA,NA
chang xuan 1 hao ,Japonica inbred,Jilin,1994,8.445,140,NA,18,NA,95,30,NA,NA,NA
mu dan jiang 22 hao ,Japonica inbred,Heilongjiang,1994,7.299,NA,97,18.5,NA,NA,27.5,NA,NA,NA
mu dan jiang 21 hao ,Japonica inbred,Heilongjiang,1994,7.9515,NA,80,21.5,NA,NA,26.1,NA,NA,NA
ai mei lu 1 hao ,Indica inbred,Fujian,1994,6.1095,110,85,NA,NA,NA,NA,NA,NA,NA
gui qing ye ,Indica inbred,Guangxi,1994,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
yun jing 27 hao ,Japonica inbred,Yunnan,1994,6.9975,186,110,7.5,3.6,NA,29,NA,NA,NA
xiang si miao 2 hao ,Indica inbred,Guangdong,1994,6.75,NA,75,NA,NA,82.5,21.5,NA,NA,NA
chang bai 9 hao ,Japonica inbred,Jilin,1994,7.5,130,95,NA,NA,90,29,NA,NA,NA
zhou 903,Indica inbred,Zhejiang,1994,6,108,83,NA,NA,82.1,26,NA,3.4,NA
shan you 149,Indica hybrid,Sichuan,1995,8.103,148,107,24,2.7,84,29,142,NA,119.28
xie you 413,Indica hybrid,Zhejiang,1995,6.768,135.5,102.5,NA,NA,NA,27.5,NA,NA,NA
bo you 210,Indica hybrid,Guangdong,1995,6.22695,118,88.8,NA,2.925,81,21.9,120.1,NA,97.281
gang you dong xi 1 hao ,Indica hybrid,Sichuan,1995,8.106,150,115,NA,2.625,85,27,NA,NA,NA
shan you 195,Indica hybrid,Sichuan,1995,7.0065,NA,110,NA,NA,NA,NA,NA,NA,NA
luyou 502,Indica hybrid,Sichuan,1995,7.578,146.9,100,NA,NA,85,28,NA,NA,NA
jiang ��you gan 18 hao ,Indica hybrid,Jiangxi,1995,6.21255,127.5,106.6,NA,NA,NA,29.26,NA,NA,NA
wei you 402,Indica hybrid,Zhejiang,1995,7.3305,121,84,NA,NA,NA,NA,NA,NA,NA
gang you 22,Indica hybrid,Guizhou,1995,8.8065,153,106,NA,NA,77.1,26.9,NA,NA,NA
��you 838,Indica hybrid,Sichuan,1995,8.2275,152,112.5,NA,NA,86.4,28.5,NA,NA,NA
zhong zao 1 hao ,Indica inbred,Zhejiang,1995,7.3524,112,79,NA,NA,NA,NA,NA,NA,NA
zhongzuo93,Japonica inbred,Tianjin,1995,7.3665,167.5,100,NA,NA,NA,25.5,NA,NA,NA
c hao chan 1 hao ,Japonica inbred,Jilin,1995,8.415,145,97.5,NA,NA,NA,26,NA,NA,NA
dong jing za 1 hao ,Japonica hybrid,Hubei,1995,6.7545,130,90,NA,NA,NA,23.4,NA,NA,NA
ning jing 16 hao ,Japonica inbred,Ningxia,1995,11.16675,150,90,16,NA,NA,25,NA,NA,NA
chang bai 9 hao ,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,1995,8.25,130,95,NA,NA,90,29,NA,NA,NA
tong 35,Japonica inbred,Jilin,1995,8.346,140,110,21,NA,95,28,NA,NA,NA
xiu shui 17,Japonica inbred,Shanghai,1995,8.2185,155,100,NA,NA,NA,25.25,107,NA,NA
teng 747,Japonica inbred,Ningxia,1995,11.2395,130,90,15,NA,NA,25,NA,NA,54.8
8you 161,Japonica hybrid,Shanghai,1995,9.495,161,115,NA,NA,85,27,150,NA,125
te san ai 2 hao ,Indica inbred,Guizhou,1995,7.7265,155,90,NA,NA,82.5,26.9,NA,NA,NA
xianxiao zhan ,Indica inbred,Guangdong,1995,5.0001,130,93.4,NA,3.405,84.85,16.9,NA,NA,NA
zao hua 2 hao ,Japonica inbred,Tianjin,1995,7.5,157.5,95,17,NA,94,23,NA,NA,NA
gan zao xian37 hao ,Indica inbred,Jiangxi,1995,4.9167,105,80,NA,NA,NA,24.21,NA,3.7,NA
dong zao 11 hao ,Indica inbred,Hubei,1995,5.7675,108,NA,NA,4.095,73.7,25.2,NA,3.2,NA
hua jing za 1 hao ,Japonica hybrid,Hubei,1995,6.4245,125,100,NA,NA,75,24,NA,NA,NA
jin feng ,Japonica inbred,Jilin,1995,8.39,142,95,18.5,NA,93,26,NA,NA,NA
jiu dao 16 hao ,Japonica inbred,Jilin,1995,7.635,138,100,18,NA,90,27,NA,NA,NA
he xi 30 hao ,Japonica inbred,Sichuan,1995,9.354,164,85,NA,NA,88,23,NA,NA,NA
min ke zao 22,Indica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,1995,6.45,116,85,NA,NA,NA,NA,NA,NA,NA
yongjing 44,Japonica inbred,Zhejiang,1995,5.8605,138,84,NA,NA,NA,NA,NA,NA,NA
liang xian2 hao ,Indica inbred,Sichuan,1995,8.61,165,80,NA,3.97125,71.3,NA,NA,NA,NA
ning jing 15 hao ,Japonica inbred,Ningxia,1995,12.4995,150,89,15,NA,NA,28,83,NA,NA
ning jing 17 hao ,Japonica inbred,Ningxia,1995,11.3535,140,90,14,NA,NA,24,NA,NA,70
1987/9/1/zhou dong ,Japonica inbred,Ningxia,1995,9.9513,150,102.5,20,NA,NA,29,NA,NA,NA
shen nong 514,Japonica inbred,Liaoning,1995,8.5485,158,91.5,17,NA,90,25,NA,NA,NA
ji nong da 3 hao ,Japonica inbred,Jilin,1995,8.61,140,100,19,NA,95,27,NA,NA,NA
ao qing zhan ,Indica inbred,Guangdong,1995,5.67195,128,96.5,NA,3,75.75,21.2,120,NA,90.9
hua pei 15,Japonica inbred,Shanghai,1995,8.391,155,105,19,NA,NA,26,126,NA,113
hua jing 45,Japonica inbred,Liaoning,1995,8.2695,158,90,15,NA,89.2,24.5,NA,NA,NA
shen nong 90-17,Japonica inbred,Liaoning,1995,8.8575,NA,95,NA,NA,85,25.5,NA,NA,NA
liao jing 244,Japonica inbred,Liaoning,1995,9.2625,154,95,NA,NA,NA,26.5,NA,NA,NA
ji jing 65 hao ,Japonica inbred,Jilin,1995,8.595,NA,93.5,16.75,NA,85,25.1,NA,NA,NA
jiu dao 15 hao ,Japonica inbred,Jilin,1995,8.344,143,92.5,18,NA,90,25,NA,NA,NA
jiu hua 1 hao ,Japonica inbred,Jilin,1995,8.61,145,104,24,NA,NA,27,NA,NA,NA
hei jing 7 hao ,Japonica inbred,Heilongjiang,1995,6.3768,NA,100,18,NA,NA,25,NA,NA,NA
zhe hu 894,Japonica inbred,Zhejiang,1995,6.291,140,85,NA,NA,NA,NA,NA,NA,NA
dong zhong 3 hao ,Indica inbred,Hubei,1995,8.181,137,113,NA,NA,NA,28.5,NA,NA,NA
chu jing 14 hao ,Japonica inbred,Yunnan,1995,9.5595,175,99,NA,4.5,80,24,117,NA,93.6
yun jing 33 hao ,Japonica inbred,Yunnan,1995,8.274,185,108,21.5,3,NA,29,171.2,NA,127.7
wen dao 1 hao ,Indica inbred,Yunnan,1995,7.179,155,95,NA,NA,NA,NA,NA,NA,NA
wen dao 2 hao ,Indica inbred,Yunnan,1995,7.9635,152.5,94,NA,NA,83.8,29.2,NA,NA,NA
bi jing 37 hao ,Japonica inbred,Guizhou,1995,6.4629,160,97.5,NA,NA,NA,25,NA,NA,82.5
gan zao xian38 hao ,Indica inbred,Jiangxi,1995,5.6262,114,83.6,NA,NA,NA,22.8,NA,NA,NA
zhong si 2 hao ,Indica inbred,Zhejiang,1995,5.682,NA,78,NA,NA,NA,NA,NA,NA,NA
te you 559,Indica hybrid,Jiangsu,1996,13.17975,138,110,NA,NA,90,28,NA,NA,NA
Kyou 402,Indica hybrid,Sichuan,1996,7.903,126,95,NA,NA,80,28,NA,NA,NA
pei za shan qing ,Indica hybrid,Guangdong,1996,6.8175,129,102.5,NA,2.85,79,22,145,2.59,114.55
��you 802,Indica hybrid,Sichuan,1996,8.682,150,NA,NA,NA,81.18,28,NA,NA,NA
zhu you 61,Indica hybrid,Guangdong,1996,5.9445,129,104,NA,NA,79.5,23,137.5,NA,109.3125
gang you 501,Indica hybrid,Sichuan,1996,8.745,146,108,NA,NA,80.3,26.3,NA,NA,NA
��you dong 57,Indica hybrid,Sichuan,1996,8.4525,150,NA,NA,NA,87.2,27,NA,NA,NA
shan you 86,Indica hybrid,Sichuan,1996,7.8489,146,106,NA,NA,83.4,28.4,NA,NA,NA
jiang you 151,Indica hybrid,Sichuan,1996,8.05875,148,105.8,NA,2.7,87.43,30.9,NA,NA,NA
xie you 437,Indica hybrid,Jiangsu,1996,8.4993,141,115,NA,NA,90,26,NA,NA,NA
xie you gan 20 hao ,Indica hybrid,Jiangxi,1996,6.1542,126.6,99.68,22.77,2.7705,75.79,23.17,138.3,NA,104.71
Kyou 5 hao ,Indica hybrid,Sichuan,1996,8.64,144,112.5,NA,NA,85,29.5,NA,NA,NA
Dyou 162,Indica hybrid,Sichuan,1996,6.567,143,89.9,NA,NA,80,27.5,NA,NA,NA
zhong si 2 hao ,Indica inbred,Jiangxi,1996,5.53275,107.7,80,NA,NA,85,22.9,81,3.05,68.85
zhong you zao 81,Indica inbred,Hunan,1996,6.063,106,80,NA,4.8525,85,24.25,75,3.53,63.75
jin xing 1 hao ,Japonica inbred,Tianjin,1996,8.0415,172.5,105,16,NA,NA,28.5,NA,NA,NA
te xianzhan 13,Indica inbred,Guangdong,1996,5.92935,128,100,20,3.3,83,20,127,NA,105.41
zhong you zao 81,Indica inbred,Jiangxi,1996,5.0145,104.5,83,NA,4.65,80.4,23.44,68.7,3.2,55.2348
jin dao 308,Japonica inbred,Tianjin,1996,7.854,167.5,105,NA,NA,NA,27.5,NA,NA,NA
jing dao xuan yi ,Japonica inbred,Tianjin,1996,7.8495,160,105,21,NA,93,29,NA,NA,NA
ji jing 15 hao ,Japonica inbred,Hebei,1996,10.5,172.5,97.5,15,NA,NA,NA,NA,NA,NA
dong nong 419,Japonica inbred,Heilongjiang,1996,7.7266,NA,88.5,15.8,NA,NA,25.9,NA,NA,NA
jia yu 280,Indica inbred,Zhejiang,1996,7.032,108,75,NA,4.2,80,24.75,95,2.4,77.5
qi dai zhan 1 hao ,Indica inbred,Guangdong,1996,5.25375,125,105,NA,2.775,NA,17,NA,NA,NA
tong 88-7,Japonica inbred,Jilin,1996,7.71,136,94.6,19.2,NA,NA,25.8,NA,NA,NA
gang fu 1 hao ,Japonica inbred,Liaoning,1996,12.33765,170,97,14.5,NA,81.5,22.5,NA,NA,NA
qi xiu zhan 3 hao ,Indica inbred,Guangdong,1996,4.95915,119,97.5,20,2.7,79,19,136.5,NA,107.835
hua xianzhan ,Indica inbred,Guangdong,1996,5.31585,127.5,104.5,21,3.225,79,19,123.5,NA,97.565
long dong 101,Japonica inbred,Heilongjiang,1996,7.8515,130,95,NA,NA,NA,30,NA,NA,NA
xiang wan xian7 hao ,Indica inbred,Hunan,1996,6.36,121,NA,NA,NA,NA,NA,NA,NA,NA
xiang zao xian22 hao ,Indica inbred,Hunan,1996,5.835,105,82,NA,3.675,NA,23.5,NA,2.64,NA
san yuan 921,Indica inbred,Guangdong,1996,5.1201,118,93.55,NA,2.85,79,19,134.5,NA,106.255
zhen xian232,Indica inbred,Jiangsu,1996,8.01255,145,110,NA,NA,90,24.5,NA,NA,NA
gan zao xian40 hao ,Indica inbred,Jiangxi,1996,5.3166,106.5,82,18.12,3.4965,79.67,25.52,71,3.3,56.76
teng xi 144,Japonica inbred,Heilongjiang,1996,7.6794,NA,87.5,16.4,NA,NA,26,NA,NA,NA
gao yuan jing 1 hao ,Japonica inbred,Sichuan,1996,5.691,185,90,17,NA,70,26,NA,NA,NA
ji yu jing ,Japonica inbred,Jilin,1996,7.745,135,97.5,NA,NA,90,25,NA,NA,NA
sidao 10 hao ,Japonica inbred,Jiangsu,1996,8.085,151,90,NA,NA,85,25.5,NA,NA,NA
qiu feng ,Japonica inbred,Shanghai,1996,9.24855,155,100,NA,3.3,90,27,107.5,NA,96.75
xiang jing 2 hao ,Japonica inbred,Hunan,1996,5.9925,125,97,NA,NA,NA,28.9,NA,1.8,75.7
qing xiang jing ,Japonica inbred,Shanghai,1996,7.5735,156,90,NA,3.75,90,27,97.5,NA,87.75
hu jing 06,Japonica inbred,Shanghai,1996,7.65,152,95,NA,3.9,90,26,95,NA,85.5
shen nuo 1 hao ,Japonica inbred,Liaoning,1996,8.097,158,97.7,15.5,NA,79.9,23.5,NA,NA,NA
chang xuan 2 hao ,Japonica inbred,Jilin,1996,7.925,136,95,17,NA,NA,28.5,NA,NA,NA
yan jing 21 hao ,Japonica inbred,Jilin,1996,6.897,120,85,14,NA,90,27,NA,1.72,NA
sha 29,Japonica inbred,Jilin,1996,5.803,108,55,10,NA,85,24.5,NA,NA,NA
gan zao xian39 hao ,Indica inbred,Jiangxi,1996,5.4507,108,71,17.67,3.729,75.17,22.81,75.63,NA,57.16
gan zao xian41 hao ,Indica inbred,Jiangxi,1996,5.2197,111.7,80.75,18,3.9105,75.81,24.4,65.57,NA,51.42
gan wan xian25 hao ,Indica inbred,Jiangxi,1996,6,128.9,92.3,19.95,3.696,68.18,23.84,87.68,3,60.38
gan wan xian26 hao ,Indica inbred,Jiangxi,1996,5.046,132,87.3,NA,3.5895,82.3,22.8,111.9,NA,92.0937
te you 18,Indica hybrid,Guangxi,1997,7.0785,135,113,NA,NA,77.1,28,131,NA,101
��you 3550,Indica hybrid,Guangdong,1997,7.10325,124,NA,NA,2.625,85,25,128,2.27,108.8
bo you 3550,Indica hybrid,Guangdong,1997,6.5253,120,92.5,NA,NA,82,22,NA,2.4,NA
te you 524,Indica hybrid,Guangdong,1997,7.2525,130,109,NA,NA,83,29,142.5,NA,118.275
shan you 4480,Indica hybrid,Guangdong,1997,5.76,126,97,NA,NA,82,24,144.5,NA,118.49
bo you 175,Indica hybrid,Guangxi,1997,7.69335,123,100,NA,NA,77.7,25.5,NA,NA,NA
xie you 914,Indica hybrid,Zhejiang,1997,5.986,136,102,NA,NA,80,23.5,NA,NA,NA
you you 4480,Indica hybrid,Guangdong,1997,6.357,122.5,94.5,NA,NA,83,23,NA,2.45,NA
zhi you gui 99,Indica hybrid,Guangxi,1997,6.4686,131,116,NA,NA,77.9,24,112.9,NA,87.9491
te you gui 99,Indica hybrid,Guangxi,1997,6.342,131,105.5,NA,NA,77.3,24.5,NA,NA,NA
��you 746,Indica hybrid,Sichuan,1997,8.61885,NA,NA,NA,NA,80,27,NA,NA,NA
fu you 130,Indica hybrid,Sichuan,1997,8.53545,152,NA,NA,NA,84.7,29.3,NA,NA,NA
wei you 56,Indica hybrid,Hunan,1997,6.6885,113,85.8,NA,NA,71.5,30,NA,NA,NA
fu you 838,Indica hybrid,Sichuan,1997,8.016,145,115,NA,NA,87.5,28.5,NA,NA,NA
xin xiang you 77,Indica hybrid,Hunan,1997,6.78,114,97.9,NA,NA,73.5,27.9,NA,NA,NA
pei liang you yu hong ,Indica hybrid,Hunan,1997,6.753,124,96.3,NA,NA,77.95,24.5,NA,NA,NA
shan you 18,Indica hybrid,Guangxi,1997,7.7535,134,114,NA,NA,69.78,28,139,NA,96.9942
bo you 4480,Indica hybrid,Guangxi,1997,6.1917,120,90,NA,NA,86.3,21,133,NA,114.779
gang you 734,Indica hybrid,Sichuan,1997,8.3175,150,116.1,NA,NA,85,27.6,NA,NA,NA
��you 3028,Indica hybrid,Sichuan,1997,7.334,150,99.5,NA,NA,82.9,25.5,NA,NA,NA
ka you 6206,Indica hybrid,Sichuan,1997,7.2,153,94,NA,NA,85,30.6,NA,NA,NA
di you 151,Indica hybrid,Sichuan,1997,7.889,142,104,NA,NA,84.8,27.43,NA,NA,NA
hei you 1 hao ,Indica hybrid,Sichuan,1997,7.125,156.1,109.9,NA,NA,76,26.1,NA,NA,NA
xin xiang you 80,Indica hybrid,Hunan,1997,7.23645,115.7,94.8,NA,NA,78.79,27.2,NA,NA,NA
Kyou 17,Indica hybrid,Sichuan,1997,7.925,140,110,NA,NA,85.9,30,NA,NA,NA
jin you 402,Indica hybrid,Hunan,1997,6.864,113,83.7,NA,NA,72.1,26.8,NA,NA,NA
gang you 906,Indica hybrid,Sichuan,1997,8.4783,145,114,23.4,NA,86.2,26.8,NA,NA,144
Dyou 68,Indica hybrid,Sichuan,1997,8.2935,NA,117,NA,NA,83.4,27.3,NA,2.89,NA
��you 162,Indica hybrid,Sichuan,1997,8.9055,NA,NA,NA,NA,80,28,NA,NA,NA
ken yu 12 hao ,Japonica inbred,Hebei,1997,8.85,175,112,15,NA,NA,25,NA,2,NA
lian jing 2 hao ,Japonica inbred,Jiangsu,1997,9.351,NA,NA,NA,NA,90,27,115,NA,103.5
xiu shui 63,Japonica inbred,Zhejiang,1997,8.391,155,100,NA,NA,87.5,26,NA,NA,NA
jiu dao 19 hao ,Japonica inbred,Jilin,1997,8.331,138,99,NA,NA,92.5,26.5,NA,NA,NA
zhong zao 4 hao ,Indica inbred,Zhejiang,1997,5.757,110,NA,NA,NA,88,24,NA,NA,NA
zhongzuo23,Japonica inbred,Tianjin,1997,6.918,180,107.5,NA,NA,NA,25,NA,1.8,NA
zhongzuo17,Japonica inbred,Tianjin,1997,8.376,170,108.5,NA,NA,NA,26.5,NA,NA,NA
hua yu 3 hao ,Japonica inbred,Tianjin,1997,7.863,167.5,105,19,NA,95.6,26.5,NA,NA,NA
ji jing 16 hao ,Japonica inbred,Hebei,1997,9,177,110,15,NA,NA,26,NA,NA,NA
zao feng 9 hao ,Japonica inbred,Jiangsu,1997,9.5025,NA,NA,NA,NA,90,27.5,100,NA,90
xiang zao xian24 hao ,Indica inbred,Hunan,1997,6.618,109,74.2,NA,NA,83.8,24.4,NA,NA,NA
ji jing 66 hao ,Japonica inbred,Jilin,1997,8.367,145,95,NA,NA,90,26,NA,NA,NA
wu yu jing 5 hao ,Japonica inbred,Jiangsu,1997,9.0012,NA,NA,NA,NA,90,27.5,110,NA,99
zhen dao 88,Japonica inbred,Jiangsu,1997,9.391,149,98,NA,NA,90,27,115,NA,103.5
feng ai zhan 1 hao ,Indica inbred,Guangdong,1997,6.0252,NA,99,22,3.45,72,20,126,NA,90.72
xiu shui 17,Japonica inbred,Zhejiang,1997,6.042,132,100,NA,NA,NA,26,NA,NA,NA
chu jing 17 hao ,Japonica inbred,Yunnan,1997,9.75,176,98,NA,4.35,79,NA,NA,NA,NA
xiang zao xian23 hao ,Indica inbred,Hunan,1997,6.408,105,78.25,NA,NA,84.9,24.7,NA,NA,NA
he xi 35 hao ,Japonica inbred,Yunnan,1997,8.8035,174,100,21,4.05,78,25.7,NA,NA,NA
yan jing 5 hao ,Japonica inbred,Jiangsu,1997,8.415,NA,NA,NA,NA,92,25,95,NA,87.4
sui jing 2 hao ,Japonica inbred,Heilongjiang,1997,6.9723,NA,80,15,NA,NA,26.5,NA,NA,NA
xin yang 03,Indica inbred,Henan,1997,8.421,140,109,20.7,NA,80,25.7,NA,2,NA
jiu dao 18 hao ,Japonica inbred,Jilin,1997,8.5167,141,97,NA,NA,88,26,NA,NA,NA
wu jing 6 hao ,Japonica inbred,Jiangsu,1997,9.0272,NA,NA,NA,NA,92,25.5,NA,NA,NA
feng dao 9 hao ,Japonica inbred,Yunnan,1997,8.3025,185,90,NA,NA,NA,26,NA,NA,NA
hang 931,Indica inbred,Zhejiang,1997,5.265,110,NA,NA,NA,NA,NA,NA,NA,NA
zhen fu 10 hao ,Japonica inbred,Jilin,1997,8.0889,NA,105,NA,NA,NA,23.5,NA,NA,NA
ji nong da 7 hao ,Japonica inbred,Jilin,1997,8.6015,145,100,20,NA,NA,26,NA,NA,NA
zhen xian272,Indica inbred,Jiangsu,1997,9.1263,140,110,NA,NA,90,30,120,NA,108
san yuan 93,Indica inbred,Guangdong,1997,5.57835,124,95,21,2.7,77,21,145,NA,111.65
zhen dao 4 hao ,Japonica inbred,Jiangsu,1997,8.0175,NA,NA,NA,NA,90,26,97.5,NA,87.75
tai hu jing 6 hao ,Japonica inbred,Jiangsu,1997,9.3291,122,95,NA,NA,90,26.5,110,NA,99
siyou 9022,Japonica hybrid,Jiangsu,1997,9.603,150,110,25,NA,80,25.5,180,NA,144
fu jing 3 hao ,Japonica inbred,Liaoning,1997,8.349,151,91,17.6,NA,90,26.4,NA,NA,NA
shen nong 8801,Japonica inbred,Liaoning,1997,8.2425,157,102.5,17,NA,NA,27,NA,NA,NA
